player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율+장타율,득점권타율,대타타율
68110,14.0,송찬의,LG,외야수,1999-02-20,182.0,80.0,화곡초-선린중-선린인터넷고,68110,0.211,66,166,147,18,31,9,1,3,51,20,2,2,1,1,9,0,8,49,4,0.347,0.291,1,50.0,7,0.638,0.237,0.273
68119,8.0,문성주,LG,외야수,1997-02-20,175.0,78.0,포항서초-포항제철중-경북고-강릉영동대,68119,0.305,135,542,475,57,145,20,2,3,178,70,4,3,0,9,54,0,4,59,10,0.375,0.375,1,57.1,43,0.75,0.321,0.167
68205,13.0,전민재,롯데,내야수,1999-06-30,181.0,73.0,천안남산초-천안북중-대전고-두산,68205,0.287,101,369,331,39,95,15,0,5,125,34,3,3,10,2,22,0,4,63,7,0.378,0.337,16,50.0,27,0.715,0.253,0.0
68305,9.0,변상권,키움,외야수,1997-04-04,180.0,80.0,인천서림초-상인천중-제물포고-인천재능대-히어로즈-키움-상무,68305,0.263,12,20,19,2,5,2,0,0,7,4,0,0,0,1,0,0,0,2,0,0.368,0.25,0,0.0,0,0.618,0.333,0.167
68362,36.0,추재현,두산,외야수,1999-02-22,178.0,85.0,경수초(성동구리틀)-건대부중-신일고-히어로즈-키움-롯데-상무-롯데,68362,0.222,34,87,81,7,18,3,1,1,26,7,0,0,2,0,3,0,1,17,2,0.321,0.259,0,0.0,3,0.58,0.111,0.286
68463,31.0,윤정빈,삼성,외야수,1999-06-24,182.0,93.0,신도초-부천중-부천고-삼성-상무,68463,0.175,25,46,40,3,7,1,0,0,8,3,0,0,0,2,4,0,0,18,1,0.2,0.239,0,0.0,2,0.439,0.286,0.167
68504,34.0,이호연,KT,내야수,1995-06-03,177.0,87.0,광주수창초-진흥중-광주제일고-성균관대-롯데,68504,0.343,32,75,70,8,24,7,0,1,34,8,0,0,1,0,3,0,1,14,2,0.486,0.378,1,0.0,5,0.864,0.3,0.389
68507,7.0,장두성,롯데,외야수,1999-09-16,176.0,75.0,축현초-재능중-동산고,68507,0.262,118,284,248,51,65,3,3,0,74,25,17,5,7,2,24,0,3,64,3,0.298,0.332,3,77.3,19,0.63,0.269,0.0
68518,42.0,정보근,롯데,포수,1999-08-31,175.0,89.0,부산수영초-경남중-경남고,68518,0.186,93,152,129,4,24,4,1,1,33,15,0,0,4,0,18,1,1,39,4,0.256,0.291,2,0.0,3,0.547,0.293,0.0
68646,55.0,한준수,KIA,포수,1999-02-13,184.0,95.0,광주서석초-광주동성중-광주동성고,68646,0.225,103,276,244,33,55,12,1,7,90,26,0,0,0,3,26,1,3,48,4,0.369,0.304,3,0.0,11,0.673,0.197,0.261
68700,50.0,이원석,한화,외야수,1999-03-31,177.0,80.0,화곡초-충암중-충암고,68700,0.203,129,248,212,60,43,7,0,4,62,24,22,3,7,2,23,0,4,51,4,0.292,0.29,1,88.0,11,0.582,0.149,0.5
68805,,최상민,SSG,외야수,1999-08-20,178.0,75.0,석교초-청주중-북일고-SSG,68805,0.143,23,9,7,5,1,0,0,0,1,1,1,1,0,0,1,0,1,5,0,0.143,0.333,0,50.0,0,0.476,0.0,0.0
68868,7.0,최준우,SSG,내야수,1999-03-25,176.0,78.0,방배초-대치중-장충고-SK-상무,68868,0.191,78,192,152,17,29,0,0,3,38,22,2,0,3,4,30,0,3,47,3,0.25,0.328,1,100.0,5,0.578,0.262,0.148
68904,34.0,오영수,NC,내야수,2000-01-30,178.0,93.0,사파초-창원신월중-용마고-NC-상무,68904,0.232,67,179,155,14,36,5,0,3,50,23,3,2,0,0,22,0,2,47,0,0.323,0.335,1,60.0,9,0.658,0.262,0.273
68912,25.0,김형준,NC,포수,1999-11-02,187.0,98.0,가동초-세광중-세광고-NC-상무,68912,0.232,127,415,362,51,84,10,1,18,150,55,3,0,3,2,45,0,3,126,7,0.414,0.32,4,100.0,18,0.734,0.29,0.25
69056,2.0,박민석,KT,내야수,2000-04-13,180.0,77.0,성동초-덕수중-장충고,69056,0.263,19,21,19,5,5,1,1,0,8,1,0,1,0,0,2,0,0,4,0,0.421,0.333,2,0.0,1,0.754,0.0,0.0
69064,5.0,강민성,KT,내야수,1999-12-08,180.0,85.0,대구옥산초-경상중-경북고,69064,0.033,25,36,30,0,1,0,0,0,1,1,0,0,0,1,5,0,0,15,1,0.033,0.167,0,0.0,0,0.2,0.0,0.0
69100,6.0,구본혁,LG,내야수,1997-01-11,177.0,75.0,중대초-잠신중-장충고-동국대-LG-상무,69100,0.286,131,397,343,41,98,16,2,1,121,38,10,5,12,0,36,1,6,44,4,0.353,0.364,6,66.7,26,0.717,0.299,0.333
69102,2.0,문보경,LG,내야수,2000-07-19,182.0,88.0,송중초(동대문구리틀)-덕수중-신일고,69102,0.276,141,607,515,91,142,21,1,24,237,108,3,1,0,9,79,3,4,108,15,0.46,0.371,16,75.0,38,0.831,0.274,0.333
69203,8.0,송승환,NC,외야수,2000-10-28,183.0,93.0,신기초(금천구리틀)-양천중-서울고-두산,69203,0.2,13,15,15,0,3,1,0,0,4,2,0,0,0,0,0,0,0,6,0,0.267,0.2,0,0.0,0,0.467,0.667,0.286
69207,64.0,김태근,삼성,외야수,1996-08-10,175.0,74.0,광진초(광진구리틀)-건대부중-배명고-건국대-두산-상무,69207,0.333,11,14,12,2,4,0,0,0,4,0,0,0,0,0,2,0,0,4,0,0.333,0.429,0,0.0,0,0.762,0.0,0.5
69238,27.0,김대한,두산,외야수,2000-12-06,185.0,83.0,숭인초(강북구리틀)-덕수중-휘문고,69238,0.194,16,37,36,1,7,0,0,1,10,5,0,1,0,0,1,0,0,6,0,0.278,0.216,1,0.0,2,0.494,0.167,0.0
69332,25.0,주성원,키움,외야수,2000-08-30,182.0,95.0,부산대연초(남구리틀)-부산신정중-개성고,69332,0.25,58,174,156,21,39,6,0,1,48,12,4,0,0,1,13,0,4,45,2,0.308,0.322,2,100.0,10,0.63,0.212,0.3
69403,53.0,양우현,삼성,내야수,2000-04-13,175.0,82.0,남정초-충암중-충암고,69403,0.188,14,16,16,3,3,1,0,0,4,4,0,0,0,0,0,0,0,2,0,0.25,0.188,1,0.0,0,0.438,0.286,0.0
69416,56.0,이해승,삼성,내야수,2000-08-01,180.0,86.0,인천서림초-신흥중-인천고-삼성-상무,69416,0.2,8,5,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0.2,0.2,2,0.0,0,0.4,0.5,0.0
69418,66.0,박승규,삼성,외야수,2000-09-02,178.0,80.0,일산초-덕수중-경기고-삼성-상무,69418,0.287,64,200,174,39,50,5,0,6,73,14,5,4,1,0,21,0,4,43,2,0.42,0.377,1,55.6,12,0.797,0.2,0.143
69428,23.0,이병헌,삼성,포수,1999-10-26,180.0,87.0,인천숭의초-인천신흥중-제물포고,69428,0.2,55,59,55,5,11,3,0,1,17,7,0,0,0,0,3,0,1,13,1,0.309,0.254,2,0.0,3,0.563,0.273,0.0
69442,24.0,김도환,삼성,포수,2000-04-14,178.0,90.0,언북초(의정부리틀)-영동중-신일고-삼성-상무,69442,0.286,6,14,14,3,4,1,0,0,5,1,0,0,0,0,0,0,0,4,0,0.357,0.286,0,0.0,1,0.643,1.0,0.0
69508,3.0,신윤후,롯데,내야수,1996-01-05,177.0,77.0,무학초-마산중-마산고-동의대,69508,0.167,12,13,12,1,2,0,0,0,2,0,1,0,1,0,0,0,0,3,0,0.167,0.167,0,100.0,0,0.334,0.0,0.0
69517,2.0,고승민,롯데,내야수,2000-08-11,189.0,92.0,군산신풍초-천안북중-북일고,69517,0.271,121,538,469,71,127,21,2,4,164,45,5,1,6,4,56,1,3,83,8,0.35,0.35,6,83.3,36,0.7,0.241,0.0
69636,56.0,오선우,KIA,내야수,1996-12-13,186.0,95.0,성동초-자양중-배명고-인하대,69636,0.265,124,474,437,58,116,17,1,18,189,56,0,2,0,0,34,2,3,158,11,0.432,0.323,11,0.0,32,0.755,0.239,0.143
69727,29.0,변우혁,KIA,내야수,2000-03-18,185.0,100.0,일산초-현도중-북일고-한화-상무-한화,69727,0.218,47,153,142,11,31,7,0,0,38,17,0,0,0,0,10,0,1,47,3,0.268,0.275,4,0.0,9,0.543,0.311,0.2
69737,8.0,노시환,한화,내야수,2000-12-03,185.0,105.0,부산수영초-경남중-경남고,69737,0.26,144,624,539,97,140,28,2,32,268,101,14,5,0,4,70,10,11,125,22,0.497,0.354,17,73.7,37,0.851,0.29,0.0
69766,33.0,유로결,한화,외야수,2000-05-30,186.0,83.0,광주서림초-광주동성중-광주제일고,69766,0.154,20,16,13,1,2,0,0,0,2,0,1,0,2,0,0,0,1,4,0,0.154,0.214,0,100.0,0,0.368,0.0,0.0
69804,15.0,채현우,SSG,외야수,1995-11-21,182.0,80.0,칠성초-경복중-대구상원고-송원대-SK,69804,0.188,41,52,48,8,9,1,1,1,15,9,2,0,0,1,3,0,0,13,1,0.313,0.231,1,100.0,2,0.544,0.231,0.0
69813,13.0,하재훈,SSG,외야수,1990-10-29,182.0,90.0,양덕초-마산동중-용마고-SK,69813,0.143,18,61,56,6,8,0,0,3,17,8,1,2,0,1,4,0,0,21,1,0.304,0.197,1,33.3,1,0.501,0.167,0.0
69825,64.0,김창평,SSG,외야수,2000-06-14,185.0,85.0,학강초-무등중-광주제일고-SK,69825,0.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
69980,66.0,김범준,NC,외야수,2000-04-20,183.0,90.0,울산대현초-제일중-대구고,69980,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
69992,14.0,최정원,NC,내야수,2000-06-24,176.0,70.0,서원초-청주중-청주고-NC-상무,69992,0.275,91,155,120,40,33,3,0,0,36,11,30,6,4,1,18,0,12,22,0,0.3,0.417,1,83.3,9,0.717,0.194,0.25
69995,5.0,서호철,NC,내야수,1996-10-16,179.0,85.0,순천남산초-순천이수중-효천고-동의대-NC-상무,69995,0.266,103,292,263,25,70,7,1,3,88,30,7,3,10,4,8,0,7,51,7,0.335,0.301,8,70.0,16,0.636,0.247,0.143
71837,,김강민,SSG,외야수,1982-09-13,182.0,87.0,본리초-대구중-경북고-SK-SSG-한화,71837,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
72443,34.0,최형우,KIA,외야수,1983-12-16,180.0,106.0,진북초-전주동중-전주고-삼성-경찰-삼성,72443,0.307,133,549,469,74,144,30,1,24,248,86,1,0,0,5,67,8,8,98,9,0.529,0.399,0,100.0,38,0.928,0.294,0.6
74206,,김재호,두산,내야수,1985-03-21,181.0,75.0,남정초-중앙중-중앙고-두산-상무-두산,74206,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
74540,47.0,강민호,삼성,포수,1985-08-18,185.0,100.0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,74540,0.269,127,465,412,37,111,23,1,12,172,71,2,2,1,7,38,4,7,69,16,0.417,0.336,2,50.0,26,0.753,0.333,0.3
75125,52.0,박병호,삼성,내야수,1986-07-10,185.0,107.0,영일초(광명리틀)-영남중-성남고-상무-LG-히어로즈-미네소타-넥센-키움-KT,75125,0.199,77,232,196,26,39,5,0,15,89,33,0,0,0,2,27,0,7,70,5,0.454,0.315,2,0.0,9,0.769,0.208,0.063
75566,17.0,이원석,키움,내야수,1986-10-21,181.0,82.0,학강초-광주동성중-광주동성고-(세민디지털대)-롯데-두산-상무-두산-삼성,75566,0.143,5,8,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0.143,0.25,0,0.0,0,0.393,0.0,0.0
75847,14.0,최정,SSG,내야수,1987-02-28,180.0,90.0,대일초-평촌중-유신고-SK,75847,0.244,95,406,340,54,83,12,0,23,164,63,1,0,0,3,51,6,12,94,10,0.482,0.36,4,100.0,22,0.842,0.247,0.0
76232,25.0,양의지,두산,포수,1987-06-05,180.0,95.0,송정동초-무등중-진흥고-두산-경찰-두산-NC,76232,0.337,130,517,454,56,153,27,1,20,242,89,4,2,0,6,50,6,7,63,10,0.533,0.406,5,66.7,44,0.939,0.375,0.5
76267,53.0,최주환,키움,내야수,1988-02-28,177.0,73.0,학강초-광주동성중-광주동성고-두산-상무-두산-SK-SSG,76267,0.275,120,506,459,45,126,31,1,12,195,74,0,0,0,6,36,2,5,66,8,0.425,0.33,6,0.0,33,0.755,0.291,0.5
76290,22.0,김현수,LG,외야수,1988-01-12,188.0,105.0,쌍문초-신일중-신일고-두산-볼티모어-필라델피아,76290,0.298,140,552,483,66,144,24,0,12,204,90,4,0,0,1,64,1,4,73,10,0.422,0.384,4,100.0,36,0.806,0.362,0.4
76313,10.0,황재균,KT,내야수,1987-07-28,183.0,96.0,사당초-서울이수중-경기고-현대-히어로즈-롯데-샌프란시스코,76313,0.275,112,424,385,50,106,19,0,7,146,48,3,1,1,2,34,1,2,84,2,0.379,0.336,5,75.0,31,0.715,0.403,0.111
76802,6.0,김성현,SSG,내야수,1987-03-09,172.0,72.0,송정동초-충장중-광주제일고-SK-상무-SK,76802,0.217,59,137,115,15,25,3,0,1,31,11,1,1,4,1,16,0,1,20,4,0.27,0.316,5,50.0,2,0.586,0.226,0.375
76812,20.0,이재원,한화,포수,1988-02-24,185.0,98.0,인천숭의초-상인천중-인천고-SK-상무-SK-SSG,76812,0.2,98,151,125,4,25,2,1,1,32,12,1,1,8,3,14,0,1,23,3,0.256,0.28,6,50.0,3,0.536,0.162,0.0
77532,31.0,손아섭,한화,외야수,1988-03-18,174.0,84.0,양정초-개성중-부산고-롯데-NC,77532,0.288,111,416,372,39,107,22,3,1,138,50,0,4,4,2,37,2,1,59,3,0.371,0.352,0,0.0,24,0.723,0.31,0.222
77564,16.0,김민성,롯데,내야수,1988-12-17,181.0,94.0,고명초-잠신중-덕수정보고-(영남사이버대)-롯데-히어로즈-키움-LG,77564,0.243,96,254,214,25,52,13,0,3,74,35,0,1,2,1,33,1,4,48,7,0.346,0.353,6,0.0,12,0.699,0.233,0.235
